,Type,Site,Impurity,AB,(+1/0)_DFT,train_mean,train_std
708,IV-IV,M_A,Mn,SiSn,0.49140900000000004,-0.32776200080029183,0.044873880766807005
709,III-V,M_A,Bi,InP,0.41603,0.8259585451311059,0.05878312246531032
710,III-V,M_A,Sn,GaP,1.4806290000000002,1.1511019029028815,0.04356627158665897
711,IV-IV,M_A,Ti,Si,-0.217969,-0.19990660833838367,0.0433314939352158
712,II-VI,M_i_neut,Mn,ZnTe,1.200041,1.2903879961795108,0.02320971580123221
713,II-VI,M_A,Sr,CdTe,-0.078765,0.766602174723076,0.0362757652693464
714,II-VI,M_A,Al,CdTe,1.168392,0.5508931215004084,0.03706540855721177
715,II-VI,M_A,Ga,ZnTe,1.204814,0.8504973086315285,0.04763985481433887
716,IV-IV,M_i_neut,Mn,Si,0.269975,0.4535456782071116,0.035125129799196596
717,II-VI,M_A,Na,CdTe,-0.16106700000000002,0.6300815887919644,0.04124836674633453
718,II-VI,M_A,Sn,CdTe,0.5068229999999999,0.5861288458490138,0.025529989359852016
719,II-VI,M_A,Ga,CdTe,0.9811200000000001,0.663621600084846,0.035060981343617445
720,IV-IV,M_A,Cr,SnC,-0.149091,0.192125317887347,0.08061948679522254
721,III-V,M_A,Ag,InSb,-0.22232,0.15137793215058357,0.05233554169060709
722,IV-IV,M_i_A,Zn,SiSn,0.059389,0.47194415592837047,0.028985265770402634
723,II-VI,M_A,In,CdTe,1.093169,0.7116735797287801,0.03342251575651436
724,III-V,M_i_A,Cr,AlP,1.068119,1.4665588755884813,0.04026955932501433
725,II-VI,M_A,Cu,CdTe,-0.20474900000000001,0.3359250485232755,0.029255905371534545
726,IV-IV,M_A,Ge,SiC,-0.244371,0.789930585616885,0.07362397734102699
727,III-V,M_i_B,Cu,InP,1.136841,1.0887334988115924,0.04675580699860819
728,II-VI,M_A,Au,CdTe,-0.12820499999999999,0.5099864801215052,0.03687194747389654
729,II-VI,M_A,Pb,CdTe,0.19073299999999999,0.47230360485252804,0.04283885263775053
730,IV-IV,M_A,Bi,SiSn,0.44162700000000005,-0.03675506795316761,0.050878133229811766
731,IV-IV,M_A,In,SiGe,-0.214946,0.07354231774950303,0.05204768963555705
732,II-VI,M_A,Tl,CdTe,0.660327,0.7963569838869977,0.037680974553761834
733,III-V,M_i_B,Cu,AlSb,0.880187,0.8131992831145094,0.04977864240224997
