Type,AB,Site,M,âˆ†H (A-rich),std_1,âˆ†H (B-rich),std_2,(+3/+2),std_3,(+2/+1),std_4,(+1/0),std_5,(0/-1),std_6,(-1/-2),std_7,(-2/-3),std_8
III-V,BN,M_i_A,Ru,6.268376442,0.162578996,7.248642414,0.180005519,-0.912011333,0.039146775,0.433735949,0.067298234,1.945427348,0.137414663,2.175820859,0.113668573,2.786946776,0.037695594,3.403538561,0.038383093
III-V,BN,M_i_A,Rh,6.41499898,0.179820434,7.260996787,0.24985021,-1.045572171,0.037578343,0.272636258,0.061852634,1.920277957,0.092590711,2.169340875,0.105022537,2.806951252,0.045773366,3.431663413,0.034883363
III-V,BN,M_i_A,Pd,6.562673937,0.21675622,7.675113438,0.202561099,-1.284021745,0.051919985,0.171697767,0.071389149,1.824865766,0.110078965,2.338743428,0.108905384,2.926545452,0.060630799,3.464277349,0.031978312
III-V,BN,M_i_A,Ag,6.558857356,0.243908345,7.438948698,0.276650386,-1.350169606,0.043460385,0.052619044,0.103496316,2.192889072,0.04788939,2.562785646,0.050107631,3.237938875,0.036620741,3.660225646,0.03010492
III-V,BN,M_i_A,Cd,7.292043169,0.273507387,8.192213966,0.124791189,-1.079831013,0.051802871,0.702599787,0.0581128,2.255364984,0.060975624,2.592148687,0.048099842,3.305470522,0.049497573,3.642057778,0.024296006
III-V,BN,M_i_A,La,6.949423898,0.132541611,7.465759036,0.077016563,-0.218031604,0.04017917,0.976659287,0.083750812,2.038649502,0.039885008,2.367771391,0.042022184,3.024732147,0.028641015,3.429338578,0.051748033
III-V,BN,M_i_A,Hf,6.53878904,0.221297903,7.574631611,0.138209358,-0.079994934,0.048988996,0.734596291,0.102619002,2.38771114,0.08174151,2.472922281,0.05457077,3.086540284,0.035715223,3.49896147,0.035245018
III-V,BN,M_i_A,Ta,7.375574951,0.467730091,8.305728597,0.321427753,-0.253478166,0.025609399,0.660827839,0.065589586,2.155977369,0.096232108,2.315200777,0.103365109,3.086172594,0.026104761,3.424078274,0.039578996
III-V,BN,M_i_A,W,7.028972992,0.205564261,8.001593171,0.210987763,-0.425819541,0.02199,0.210796124,0.093325955,1.72637666,0.14073163,2.175732571,0.07469085,2.957898101,0.061884116,3.371155383,0.026494898
III-V,BN,M_i_A,Re,6.971342471,0.283044644,8.115441341,0.19567084,-0.567216626,0.047670419,0.486850601,0.092548845,2.055822565,0.10328416,2.233296645,0.079562224,2.896738542,0.039486722,3.413832703,0.039005719
III-V,BN,M_i_A,Os,6.832807036,0.148906732,7.722675253,0.1507877,-0.646591283,0.055673236,0.164463227,0.113272427,1.891392096,0.157637724,2.097135206,0.068454546,2.847469175,0.04957632,3.410548543,0.034935909
III-V,BN,M_i_A,Ir,6.651726777,0.121888507,7.683220688,0.235619409,-0.768271425,0.049242038,0.185009132,0.160734446,1.878940207,0.095212788,2.077953368,0.067559602,2.983899243,0.057343434,3.451418082,0.029156597
III-V,BN,M_i_A,Pt,6.608973831,0.161753654,7.893132314,0.366928261,-0.965375411,0.048291937,0.060308665,0.128623106,1.734039211,0.075602393,2.235540186,0.06052011,3.044892095,0.06552973,3.498113344,0.02062694
III-V,BN,M_i_A,Au,6.900125973,0.389471261,7.90101737,0.527589402,-1.27849353,0.027801843,0.012600038,0.106819158,1.925338636,0.044980396,2.299008038,0.061730855,3.161182638,0.060218284,3.532916935,0.017688855
III-V,BN,M_i_A,Hg,6.953612965,0.181615161,8.111675115,0.129378676,-1.198520422,0.079272471,0.429095789,0.146187202,2.185079836,0.081755403,2.667737267,0.059683144,3.280253335,0.065765098,3.57421726,0.033260907
III-V,BN,M_i_A,Ce,6.627546885,0.098557576,7.454281295,0.067480506,-0.246569765,0.050219972,0.979826738,0.091356678,2.093477108,0.053217078,2.426033856,0.025725939,2.996688291,0.026365634,3.405336277,0.048802174
III-V,BN,M_i_A,Pr,6.894987749,0.12609669,7.469103848,0.078065799,-0.286944898,0.052852268,0.946414118,0.081861433,2.077352267,0.054401966,2.399401132,0.03652073,2.993431674,0.026144832,3.409316698,0.049817054
III-V,BN,M_i_A,Nd,6.918831475,0.120558763,7.532780725,0.077984443,-0.365579468,0.050876306,0.930637889,0.084043639,2.141347705,0.059816283,2.426879304,0.033174093,3.040264937,0.02947891,3.423183926,0.050875379
III-V,BN,M_i_A,Pm,6.907968409,0.110565517,7.559070519,0.077792673,-0.360036606,0.061895703,0.927403447,0.07904812,2.139201524,0.055346712,2.407228639,0.031902892,3.036511548,0.028721233,3.426579263,0.052725513
III-V,BN,M_i_A,Sm,6.804510656,0.100781208,7.497586399,0.069794938,-0.389745779,0.034579325,0.884431728,0.087309715,2.188077536,0.043627095,2.514340779,0.043859417,3.043009659,0.023942178,3.438540675,0.052355092
III-V,BN,M_i_A,Eu,7.104013164,0.104779895,7.262628861,0.060206807,-0.628048388,0.046093518,1.051318894,0.076566248,2.096293766,0.042376962,2.441265169,0.043102581,2.907989458,0.031496871,3.392871642,0.041612869
III-V,BN,M_i_A,Gd,6.877999932,0.131713406,7.591401512,0.071889321,-0.157353128,0.03649117,0.974118983,0.080142115,2.176948677,0.078159247,2.405211813,0.044331409,3.002947716,0.022774693,3.431372403,0.05008782
III-V,BN,M_i_A,Tb,6.713991705,0.108012877,7.573288199,0.062706288,-0.252950421,0.053699607,0.994350853,0.095249826,2.210199866,0.082689149,2.444553493,0.048782491,3.029178695,0.019945201,3.45786798,0.052920561
III-V,BN,M_i_A,Dy,6.813338017,0.116201868,7.517368636,0.07063964,-0.426101913,0.053005515,0.940228507,0.092554036,2.281290329,0.078983919,2.47573956,0.065048634,3.054393916,0.017061347,3.451253201,0.050524498
III-V,BN,M_i_A,Ho,6.758619535,0.125034319,7.55815005,0.068998539,-0.294451244,0.049362617,0.963557995,0.087639343,2.300513179,0.0814989,2.464943126,0.064571434,3.064486243,0.019216898,3.465058844,0.049936791
III-V,BN,M_i_A,Er,6.765452961,0.13006083,7.577905147,0.069465643,-0.149620343,0.04861728,0.979210462,0.08842893,2.30578768,0.084513478,2.468763769,0.062848748,3.06498729,0.024843115,3.47669935,0.052034149
III-V,BN,M_i_A,Tm,6.713615556,0.116985893,7.382041517,0.056471274,-0.343554009,0.044638536,0.993205534,0.089573693,2.316934009,0.084058804,2.556491603,0.070011054,3.084141854,0.026596694,3.501144156,0.052259114
III-V,BN,M_i_A,Yb,6.992136485,0.114425296,7.160542717,0.057992353,-0.554554333,0.036558975,1.070123318,0.050226439,2.204738712,0.06802534,2.519539779,0.07456787,2.976937833,0.025564241,3.470649981,0.045639094
III-V,BN,M_i_A,Lu,6.787154044,0.11923333,7.478752879,0.071372259,-0.1992864,0.051064423,0.936139041,0.093872289,2.303608234,0.076654963,2.478330732,0.076100176,3.039581824,0.029207079,3.488204681,0.054049328
III-V,BN,M_i_B,Li,4.248424615,0.144306229,5.392873462,0.073882351,-1.327818634,0.067776459,-0.279543659,0.114746252,1.498568253,0.154386247,2.262598288,0.08858452,2.860062242,0.03692246,3.322715758,0.054332799
III-V,BN,M_i_B,Na,6.124779897,0.143916477,5.856917753,0.090165692,-1.219883403,0.067195541,-0.111925043,0.133238147,1.469897256,0.089042163,2.253507022,0.032123482,2.8966891,0.069118266,3.311470475,0.055997984
III-V,BN,M_i_B,K,6.579443688,0.148229373,6.179019666,0.11660626,-1.070655767,0.052035525,-0.010841023,0.065009862,1.606361894,0.079670447,2.174412527,0.045006779,2.781683838,0.060954898,3.278885124,0.055755302
III-V,BN,M_i_B,Rb,6.724200851,0.077620818,6.686004912,0.041946091,-1.071916172,0.078256664,-0.128944412,0.074392592,1.635304064,0.030381301,2.112431564,0.044279309,2.889602005,0.082335591,3.319622861,0.041071476
III-V,BN,M_i_B,Cs,7.314103157,0.206077504,6.655503595,0.086579927,-1.020274383,0.07508993,-0.137507169,0.040020285,1.71924156,0.045638476,2.151380229,0.055031664,2.867237756,0.065471661,3.379482053,0.035900133
III-V,BN,M_i_B,Be,5.440283686,0.232699283,5.707284984,0.187497456,-1.415200551,0.075771035,0.498107016,0.102391314,1.856211823,0.123988502,2.406367438,0.097710009,3.157191723,0.068650826,3.525843887,0.046025784
III-V,BN,M_i_B,Mg,6.056612785,0.131962903,6.467938815,0.15719517,-1.232442284,0.092327606,0.759170461,0.063168833,2.020276299,0.132902456,2.734796179,0.061051708,3.456763094,0.0577683,3.596316773,0.039942399
III-V,BN,M_i_B,Ca,6.616972178,0.155722947,6.416895377,0.116389129,-1.070633638,0.040688865,0.627670823,0.072870839,1.809734918,0.062267027,2.366350348,0.031004002,3.014870705,0.041937147,3.358809053,0.045539689
III-V,BN,M_i_B,Sr,7.062474862,0.1208913,6.752944373,0.071783655,-1.096425673,0.053878316,0.799440288,0.083623627,1.77737374,0.040709526,2.293678546,0.040706026,2.956470741,0.035069234,3.373937605,0.038528966
