Type,AB,Site,M,âˆ†H (A-rich),std_1,âˆ†H (B-rich),std_2,(+3/+2),std_3,(+2/+1),std_4,(+1/0),std_5,(0/-1),std_6,(-1/-2),std_7,(-2/-3),std_8
III-V,BP,M_i_A,Ca,8.252238374,0.256531634,8.03975509,0.449533735,-0.934306203,0.018568482,0.361106846,0.028669464,1.191676936,0.1147943,1.974816608,0.108084168,2.237673001,0.106990644,2.728190493,0.050573374
III-V,BP,M_i_A,Sr,9.242258379,0.256243977,8.991410604,0.516089205,-0.963065639,0.0191016,0.537137519,0.033070178,1.215541816,0.123814304,2.00169994,0.118742745,2.260825817,0.095933712,2.737839012,0.056734946
III-V,BP,M_i_A,Ba,9.358861093,0.245891178,9.811251772,0.371340538,-0.873209522,0.015522979,0.533396383,0.007135015,1.242794572,0.117760233,2.096098515,0.099789428,2.331483335,0.112734018,2.710090139,0.078711163
III-V,BP,M_i_A,B,6.908798433,0.126691488,6.693164141,0.269257025,-0.876464794,0.028398901,-0.322298886,0.020280522,1.061513543,0.06218632,1.616987822,0.047480985,2.130264072,0.07701569,2.709786097,0.061174424
III-V,BP,M_i_A,Al,7.914183518,0.19753455,8.120672353,0.082279943,-0.183069484,0.062243129,0.205698614,0.055807313,1.39657049,0.060064301,1.878236694,0.059842175,2.515454759,0.026582745,2.822428966,0.025090252
III-V,BP,M_i_A,Ga,8.168132601,0.148918426,8.413124408,0.090235542,-0.557583215,0.049964886,0.044964951,0.044822265,1.375763203,0.059236485,1.930870253,0.059328648,2.411716804,0.055997717,2.828243105,0.027005308
III-V,BP,M_i_A,In,9.173375242,0.171018835,9.301699884,0.234770761,-0.502119774,0.038454927,0.142313565,0.039709932,1.445505464,0.02932275,2.011636608,0.055686415,2.353574881,0.011363616,2.846014187,0.014673521
III-V,BP,M_i_A,Tl,8.85576482,0.174535134,9.730496406,0.34115501,-0.825771909,0.036568007,-0.029045704,0.039060442,1.374961366,0.05246388,2.102050178,0.0831089,2.363116633,0.033049529,2.89679287,0.01116145
III-V,BP,M_i_A,C,8.600089015,0.156699287,8.268294628,0.302321556,-0.750089273,0.046657984,-0.068908246,0.048333884,0.665011938,0.057842904,1.191618376,0.05111961,1.887977277,0.063447299,2.650345827,0.049211246
III-V,BP,M_i_A,Si,7.447487597,0.062547169,9.890459051,0.130703548,-0.624387493,0.033442041,0.283450596,0.044869396,1.275275841,0.051470999,1.65812243,0.073606026,2.221515132,0.057141865,2.802603782,0.033893146
III-V,BP,M_i_A,Ge,7.578596113,0.20261809,9.204668583,0.131422709,-0.739256566,0.023241927,0.333461998,0.023910061,1.33798003,0.040556715,1.74667354,0.083663087,2.258847293,0.072384211,2.816111652,0.030684429
III-V,BP,M_i_A,Sn,8.968756407,0.142494421,9.826198221,0.193774404,-0.612249616,0.044225119,0.392028326,0.012511774,1.425822423,0.039941728,1.923561945,0.07203594,2.397730462,0.025283664,2.840517791,0.017096666
III-V,BP,M_i_A,Pb,9.721721555,0.191917737,10.69380682,0.271595819,-0.798091468,0.03616642,0.440423101,0.038752913,1.406308008,0.062677619,1.987821427,0.063982389,2.494860254,0.0355056,2.864081737,0.014229485
III-V,BP,M_i_A,N,8.338734385,0.447206646,7.279091534,0.413531992,-0.709160051,0.053019115,-0.388923761,0.048892967,0.370987665,0.082298576,1.003758375,0.076413791,1.500381122,0.076673164,2.490082102,0.02490229
III-V,BP,M_i_A,P,10.05549323,0.220513668,9.997785976,0.161558669,-0.532732995,0.112958758,0.232652023,0.074750475,1.043360654,0.038172626,1.579845659,0.035386509,2.106483418,0.026652169,2.662194814,0.023571336
III-V,BP,M_i_A,As,9.524124132,0.101011984,10.37670785,0.100169014,-0.493998745,0.083545652,0.396510152,0.021318968,1.222269872,0.039081734,1.734843322,0.065284822,2.166546999,0.047783512,2.787798236,0.019898004
III-V,BP,M_i_A,Sb,10.2374679,0.127307062,11.26159168,0.206989321,-0.253011687,0.063000296,0.571264051,0.045654706,1.432980799,0.047171483,1.906908384,0.07538177,2.316996534,0.056383504,2.837104224,0.015919022
III-V,BP,M_i_A,Bi,9.835854736,0.256685531,10.95881193,0.294873077,-0.299878386,0.108275262,0.474095941,0.025599177,1.61439412,0.039708155,1.959203209,0.050525508,2.406091721,0.031667443,2.86866888,0.016397095
III-V,BP,M_i_A,O,7.703009892,0.27741944,6.985251853,0.196359872,-0.846198335,0.075849852,-0.430803288,0.065268914,0.172552656,0.08210957,0.664346806,0.134122239,1.346869659,0.077206594,2.69191204,0.043648312
III-V,BP,M_i_A,S,10.33812135,0.192965397,10.14336248,0.183133837,-0.601818106,0.108707172,0.009479456,0.070492559,0.712333265,0.062081974,1.169979044,0.059571639,1.824937354,0.105888353,2.709648687,0.025730793
III-V,BP,M_i_A,Se,10.34571927,0.098986577,10.37993748,0.17893939,-0.548322209,0.078750541,0.251767501,0.04145037,0.944519364,0.07381277,1.360669383,0.070856256,1.884142043,0.05925562,2.799165726,0.024415259
III-V,BP,M_i_A,Te,10.83585333,0.128832238,11.26110432,0.251623039,-0.391860614,0.045616972,0.445334135,0.045944486,1.241511328,0.061078777,1.676961961,0.072162818,2.047381468,0.054230027,2.866443299,0.022207896
III-V,BP,M_i_A,F,6.011141227,0.258541658,6.816163895,0.280884859,-0.813971379,0.116754093,-0.294797497,0.069484601,0.097665156,0.114483911,0.530956126,0.144337507,2.16893949,0.103017739,3.019059094,0.099645788
III-V,BP,M_i_A,Cl,9.244101623,0.443972153,9.428463142,0.451768141,-0.798663989,0.060161507,-0.184188453,0.081197648,0.193445537,0.087463557,0.595156541,0.048864784,2.134976912,0.062867179,2.91160781,0.028370301
III-V,BP,M_i_A,Br,10.04538244,0.218868662,9.737027984,0.240906855,-0.632906694,0.074106233,0.16762465,0.067408939,0.396595976,0.05778653,0.879248621,0.068758518,2.282884395,0.056580589,2.964231067,0.031094656
III-V,BP,M_i_A,I,10.97732027,0.149818922,11.23108721,0.243812711,-0.698292248,0.056896946,0.249324306,0.065185674,0.69641755,0.058816709,1.28559074,0.053540438,2.496555877,0.06127943,2.992968701,0.02093544
III-V,BP,M_i_A,Sc,7.463051036,0.242118994,8.696844291,0.27851671,-0.134326031,0.037145472,0.488487426,0.018637831,1.199779118,0.06772416,1.949301309,0.091962156,2.224222596,0.080902097,2.677976924,0.053860735
III-V,BP,M_i_A,Ti,6.473480748,0.176886386,7.316101344,0.225584076,-0.35385404,0.026219485,0.287595809,0.015990817,1.016898676,0.060399419,1.784314162,0.091634339,2.255595228,0.056678353,2.655322305,0.035034149
III-V,BP,M_i_A,V,6.080835711,0.060655711,6.459410441,0.382087533,-0.620262567,0.044687512,0.132117967,0.031402113,0.88527883,0.064367264,1.682486876,0.088174126,2.172473639,0.064613364,2.661945338,0.047132284
III-V,BP,M_i_A,Cr,5.83289324,0.191498784,5.739985933,0.325728242,-0.832588495,0.054458961,-0.034099667,0.030509132,0.839111178,0.049980808,1.685945165,0.068360851,2.267758929,0.051154526,2.726925286,0.046516656
