AB,Type,Site,Impurity,,Transition Levels ->,(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Formation Energies ->,Delta_H (A_rich),Delta_H (B_rich)
CdTe,II-VI,M_A,Sn,,,-0.68,0.05,0.5,1.68,2.11,2.49,,,1.17,0.79
CdTe,II-VI,M_A,Pb,,,-0.73,-0.32,0.18,1.67,2.11,2.5,,,0.84,0.72
CdTe,II-VI,M_A,N,,,-0.93,-0.63,0.62,0.92,0.93,2.77,,,0.36,-0.59
CdTe,II-VI,M_A,P,,,-0.79,-0.45,1.09,1.58,1.97,2.37,,,3.4,2.26
CdTe,II-VI,M_A,As,,,-0.79,-0.48,1.19,1.63,2.01,2.38,,,2.86,1.7
CdTe,II-VI,M_A,Sb,,,-0.7,-0.35,1.31,1.75,2.12,2.48,,,2.54,1.81
CdTe,II-VI,M_A,Bi,,,-0.72,-0.4,1.35,1.78,2.14,2.56,,,2.04,1.67
CdTe,II-VI,M_A,O,,,-0.83,-0.52,0.02,0.02,0.76,2.02,,,6.11,4.66
CdTe,II-VI,M_A,S,,,-1.13,-1.12,0.45,0.46,1.1,2.05,,,5.51,3.61
CdTe,II-VI,M_A,Se,,,-0.73,0.15,0.64,1.19,1.87,2.36,,,4.43,2.52
CdTe,II-VI,M_A,Te,,,-0.66,0.37,0.89,1.38,1.98,2.45,,,4.17,2.29
CdTe,II-VI,M_A,F,,,-0.81,-0.54,-0.22,0.41,0.96,1.47,,,5.35,3.93
CdTe,II-VI,M_A,Cl,,,-0.71,-0.4,0.03,0.81,1.45,2.05,,,5.18,3.75
CdTe,II-VI,M_A,Br,,,-0.74,-0.74,0.64,0.95,1.6,2.2,,,4.44,3.01
CdTe,II-VI,M_A,I,,,-0.99,-0.24,0.82,1.19,1.77,2.4,,,4.34,2.91
CdTe,II-VI,M_A,Sc,,,-0.79,-0.51,1.22,1.72,2.09,2.45,,,-0.24,0.23
CdTe,II-VI,M_A,Ti,,,-0.8,0.13,0.63,1.54,1.96,2.36,,,-1.34,-0.68
CdTe,II-VI,M_A,V,,,-0.72,-0.45,0.67,1.34,1.92,2.29,,,-1.74,-1.72
CdTe,II-VI,M_A,Cr,,,-0.82,-0.34,0.14,0.85,1.85,2.29,,,-1.9,-2.28
CdTe,II-VI,M_A,Mn,,,-0.83,-0.54,-0.19,1.48,2.02,2.38,,,-1.45,-2.03
CdTe,II-VI,M_A,Fe,,,-0.84,-0.52,0.25,0.96,1.77,2.2,,,-0.57,-1
CdTe,II-VI,M_A,Co,,,-0.91,-0.59,-0.24,0.96,1.69,2.17,,,-0.72,-1.08
CdTe,II-VI,M_A,Ni,,,-0.87,-0.49,-0.05,0.58,1.28,2.1,,,-0.11,-0.44
CdTe,II-VI,M_A,Cu,,,-0.92,-0.52,-0.21,0.16,1.77,2.21,,,0.33,-0.5
CdTe,II-VI,M_A,Zn,,,-0.83,-0.56,-0.23,1.47,1.93,2.32,,,-0.32,-0.34
CdTe,II-VI,M_A,Y,,,-0.73,-0.42,1.33,1.8,2.2,2.71,,,1.44,2.04
CdTe,II-VI,M_A,Zr,,,-0.76,0.59,1.06,1.64,2.11,2.5,,,1.9,3.13
CdTe,II-VI,M_A,Nb,,,-0.2,-0.02,1.06,1.62,2.03,2.38,,,2.65,3.34
CdTe,II-VI,M_A,Mo,,,-0.72,0.28,0.72,1.2,1.89,2.37,,,3.51,3.37
CdTe,II-VI,M_A,Tc,,,-0.55,0.15,0.23,1.32,1.76,2.17,,,3.31,3.31
CdTe,II-VI,M_A,Ru,,,-0.86,-0.05,0.37,0.8,1.63,2.17,,,3.14,3.2
CdTe,II-VI,M_A,Rh,,,-0.71,-0.3,0.05,0.86,1.44,1.94,,,1.24,1.51
CdTe,II-VI,M_A,Pd,,,-0.81,-0.44,-0.05,0.48,1.05,2.12,,,2.61,1.77
CdTe,II-VI,M_A,Ag,,,-0.85,-0.51,-0.2,0.17,1.81,2.27,,,1.46,0.48
