,Type,Site,Impurity,AB,(+1/0)_DFT,train_mean,train_std
270,II-VI,M_B,Al,CdTe,0.241446,0.4769471836112179,0.025738318453921532
271,II-VI,M_i_A,Ti,CdTe,1.338351,1.2272534757943643,0.012439090252783567
272,II-VI,M_i_B,S,ZnTe,0.47863900000000004,0.5686436010991662,0.023763400282402054
273,IV-IV,M_i_B,O,SiSn,-0.351634,-0.02891501646534419,0.04463171905101832
274,II-VI,M_i_B,Cd,CdS,1.751723,1.6334733424779464,0.028253680851936573
275,III-V,M_i_A,S,InP,0.238155,0.7810021544272707,0.03227079615003815
276,II-VI,M_i_A,Ir,CdTe,0.840606,0.6962548864482285,0.018772290076041864
277,II-VI,M_B,Cd,CdSe,1.343825,1.0738136577633122,0.03835601811896707
278,II-VI,M_B,Ni,CdTe,-0.201422,0.017499950103864133,0.04410419842595631
279,II-VI,M_A,Rh,CdO,0.6896329999999999,0.5515889565728569,0.04029715699847175
280,II-VI,M_i_neut,Pt,CdS,0.6886260000000001,0.9182350674542741,0.043987250167842544
281,II-VI,M_i_neut,Sb,ZnTe,1.327891,1.2717654851802236,0.020555807919910938
282,II-VI,M_i_A,Ca,ZnTe,1.769734,1.7790182615128043,0.028408634665877796
283,II-VI,M_i_B,Na,ZnTe,1.661099,1.607690170719072,0.02534441286162625
284,II-VI,M_i_B,Bi,CdTe,1.253332,1.350190399022474,0.025294440399954904
285,II-VI,M_i_B,S,CdS,0.752005,1.0284413379141093,0.03249564061607088
286,II-VI,M_i_B,Ir,CdTe,0.738977,0.6918232158435357,0.018530605237748757
287,II-VI,M_i_neut,Rh,CdTe,0.492124,0.8919711293995956,0.016800907049903478
288,III-V,M_i_neut,Br,InP,0.208011,0.6230060554337875,0.03724815594201767
289,IV-IV,M_i_A,Os,GeSn,0.075948,-0.025489098849665454,0.03008121940958617
290,II-VI,M_A,P,ZnS,1.317688,1.057257431111703,0.059149339019780936
291,II-VI,M_B,Sb,CdTe,-0.128952,0.36259059523680565,0.030354945375555973
292,II-VI,M_i_neut,Ca,CdSe,1.5914780000000002,1.5460766743481964,0.02210729113451043
293,IV-IV,M_i_neut,Mn,GeC,1.1849100000000001,1.2447787689838055,0.03638775507827238
294,II-VI,M_i_neut,Ca,CdTe,1.544578,1.4881875365076134,0.020273226939243123
295,II-VI,M_B,Zn,CdTe,0.796517,0.5317270600085937,0.02085183449358316
296,IV-IV,M_A,W,GeC,0.827309,0.5400448998388253,0.06435124177868641
297,III-V,M_i_A,Pd,InN,0.8556790000000001,0.9394308506631912,0.05949766408538687
298,II-VI,M_i_B,N,CdTe,-0.13325,0.06662134707985053,0.04160098124846812
299,III-V,M_i_B,Nb,InSb,0.48619799999999996,0.38732779444498466,0.028124143821275493
300,II-VI,M_i_B,Cs,CdTe,1.476053,1.4549653012950288,0.030999620135810757
301,IV-IV,M_i_A,Ta,Ge,0.286812,0.36436022957537983,0.03037831486696517
302,II-VI,M_i_A,K,ZnSe,1.992664,1.8696399432946946,0.03355437841679597
303,II-VI,M_i_neut,Cd,CdO,0.918858,1.1357820387574875,0.02503631387496808
304,II-VI,M_A,Sb,CdTe,1.318324,0.5252578914406094,0.02244359619431383
305,II-VI,M_i_neut,N,CdTe,0.953837,0.08271349506151641,0.035105985767249326
306,II-VI,M_i_B,Hf,CdTe,1.535933,1.351446868237592,0.019681311509598932
307,III-V,M_i_B,La,GaSb,0.8432709999999999,0.7905490944821015,0.031940798895993494
308,II-VI,M_i_A,V,CdTe,1.329189,1.1203620089318729,0.013901086706658192
309,II-VI,M_i_B,Sr,CdSe,1.587314,1.6713826068228368,0.02681065942238564
310,II-VI,M_i_B,V,CdTe,1.120431,1.1189758044683717,0.012903385107964634
311,IV-IV,M_A,Na,GeSn,0.16021,-0.20826442631974942,0.042457190232209695
312,II-VI,M_i_neut,Tc,CdTe,0.8346969999999999,0.9553255540217742,0.015148864612998908
313,IV-IV,M_A,Os,SiC,0.720454,0.7492731166963449,0.0671734967733258
314,IV-IV,M_i_B,As,SiSn,0.40923400000000004,0.5699508741359776,0.0241956856498887
315,III-V,M_B,Hg,BSb,-0.162849,0.03544103928502273,0.05083920769372878
316,II-VI,M_i_neut,Pb,CdTe,1.421186,1.1713929462192016,0.02435834165352035
317,III-V,M_i_A,La,AlSb,0.97652,1.0757351980763143,0.04553772698585223
318,II-VI,M_i_A,N,CdTe,-0.152639,0.06955261869069981,0.04359367584047203
319,II-VI,M_i_B,Sr,CdTe,1.603766,1.6118020368349235,0.02192047796217441
320,II-VI,M_B,Ge,CdSe,0.42603100000000005,0.8063758495728507,0.03718779078708231
321,II-VI,M_i_A,Ba,CdTe,1.556898,1.6441455811154229,0.01638863882656007
322,II-VI,M_i_neut,V,CdTe,1.209681,1.11836862802352,0.014831652891460417
323,IV-IV,M_B,I,SiGe,0.573315,0.5763875157048952,0.03692096381149784
324,III-V,M_i_neut,Ru,AlAs,0.372688,0.9296897431816766,0.031128616333298952
325,II-VI,M_A,Ba,ZnS,-0.005451,1.746792194724366,0.05484841265523365
326,II-VI,M_i_neut,Al,CdTe,1.361535,1.2289032884440407,0.02330869771230191
327,II-VI,M_i_A,Fe,CdTe,1.0910309999999999,1.0556780729314004,0.013942088493695649
328,III-V,M_i_A,Cl,AlAs,-0.12054400000000001,0.5673386287745578,0.05108030483816879
329,II-VI,M_i_B,Be,ZnTe,1.448496,1.2823664137289033,0.028996720641933742
330,II-VI,M_B,Zn,ZnTe,0.780787,0.613572937509906,0.02492345889594282
331,III-V,M_B,O,AlAs,0.659645,0.551015324342426,0.0625900997204465
332,II-VI,M_i_A,S,CdS,0.533464,1.0302402173020653,0.03209084929702871
333,II-VI,M_i_A,Bi,CdTe,1.119415,1.351432372764901,0.024008081768225595
334,IV-IV,M_i_neut,Tl,SiSn,0.737875,0.6028416733826815,0.025671713010063046
335,III-V,M_i_A,Ir,GaSb,0.038851,0.13762306911624228,0.030742443748181754
336,II-VI,M_A,Bi,ZnS,2.355699,1.5997486947231239,0.07756090416146678
337,IV-IV,M_i_B,K,SiGe,0.6150100000000001,0.6496616671912379,0.03362595433874759
338,II-VI,M_i_neut,Be,CdTe,1.7523060000000001,1.114967230275736,0.023787543782505506
339,IV-IV,M_i_B,Hf,GeSn,0.501987,0.3404710969420354,0.023511427639715594
340,IV-IV,M_i_A,Zr,SiGe,0.523404,0.6563450308982555,0.02591097102230651
341,IV-IV,M_i_neut,As,Si,0.64917,0.5814141010668034,0.03155217210977238
342,III-V,M_i_A,Rh,AlP,0.954793,1.292574180794002,0.03440891424855783
343,III-V,M_i_A,Tc,GaAs,0.577087,0.5762315326770852,0.03417660664359902
344,II-VI,M_i_B,Fe,CdTe,1.449236,1.0562908319994744,0.014052321333202453
345,III-V,M_B,Tl,AlAs,0.6964229999999999,0.8459879020649268,0.042983654997143475
346,II-VI,M_A,S,CdS,0.805978,0.7742109192685953,0.03995501096511131
347,II-VI,M_B,Ga,CdTe,0.28775300000000004,0.638958393724985,0.0214609677836163
348,IV-IV,M_i_B,V,SiC,1.312543,1.6468289921076356,0.034143299203482844
349,IV-IV,M_A,O,Si,-0.24833000000000002,-0.8662007170564561,0.04272565706269386
350,IV-IV,M_i_neut,K,SiSn,0.541512,0.5056006852037142,0.033636740770382825
351,II-VI,M_B,Cu,CdTe,0.8718389999999999,0.4836368935484705,0.02853417596814569
352,II-VI,M_B,Cd,CdTe,0.964465,0.6165248964933578,0.018969967005731236
353,II-VI,M_B,In,CdTe,0.495957,0.6569505661163706,0.02146172808953282
354,II-VI,M_i_neut,Bi,CdTe,1.369464,1.3476344762458183,0.024833935662610867
355,III-V,M_A,Cr,BSb,0.21614499999999998,0.03477255371687023,0.07501458876168851
356,II-VI,M_i_A,Be,CdTe,0.7800819999999999,1.1042707179912588,0.027320940531000138
357,II-VI,M_i_B,Pb,CdTe,1.548534,1.1774010944149054,0.022483214301336398
358,IV-IV,M_i_A,Tc,SiSn,0.080636,0.2650107991153277,0.025093615120318682
359,II-VI,M_i_A,Co,CdTe,1.164513,0.8794206156826503,0.010736684351700642
360,IV-IV,M_i_B,Ge,SiGe,0.711665,0.7269758588774271,0.019718646408954335
361,III-V,M_i_A,W,AlSb,0.267081,0.7158771768840412,0.03710848264870084
362,II-VI,M_A,N,CdTe,0.534204,-0.08029820484315832,0.03937595815716236
363,II-VI,M_i_B,Pd,ZnS,0.206206,1.2950032392332382,0.04454615565500567
364,II-VI,M_i_neut,S,CdS,0.803221,1.0231354996236894,0.030253529759001835
365,II-VI,M_i_neut,Rb,CdTe,1.441647,1.4352587429487997,0.028435015130297253
366,II-VI,M_A,O,CdTe,0.028641000000000003,0.20948195700495736,0.06907043442730816
367,II-VI,M_i_B,Sn,CdTe,1.51754,1.150787550888043,0.016712373336019163
368,II-VI,M_i_B,Co,CdTe,1.172783,0.8796757591439286,0.011121888443921542
369,II-VI,M_i_neut,Sn,CdTe,1.465854,1.149700315388457,0.016956261206429922
370,II-VI,M_B,Pb,CdTe,0.402644,0.4737052294379477,0.03964240129139785
371,IV-IV,M_i_neut,Na,Ge,0.142334,0.41251295822657513,0.028686921463695406
372,II-VI,M_i_A,Cl,ZnSe,-0.09623999999999999,0.38871236237680395,0.03725669327453388
373,II-VI,M_A,La,ZnO,1.453083,1.3856693897250207,0.06295194237104257
374,II-VI,M_i_B,P,CdTe,0.7895479999999999,0.7695643223816104,0.015336112667848935
375,III-V,M_i_neut,Y,InSb,0.8650110000000001,0.7216653164065697,0.027667625031901164
376,II-VI,M_i_neut,Cs,CdTe,1.4697790000000002,1.4565178441086433,0.034528942998414844
377,II-VI,M_i_neut,Ir,CdTe,0.623524,0.6901753081446724,0.017310699868445453
378,III-V,M_i_neut,Ba,InAs,1.007803,0.9380651719213887,0.028926218900775888
379,II-VI,M_i_A,Cs,CdTe,1.442668,1.455552914220933,0.033427328619643246
380,IV-IV,M_A,Be,SnC,-0.385992,0.09863040343535566,0.09092892944003259
381,III-V,M_A,Rb,InP,0.136022,0.7548326367254156,0.048574241219557036
382,IV-IV,M_i_neut,Rb,GeSn,0.24047600000000002,0.41293980860255397,0.042214686503845335
383,IV-IV,M_i_B,Zr,GeSn,0.44280200000000003,0.27941651489451114,0.022645308240003423
384,III-V,M_B,Pd,AlP,1.402203,0.40998331827258994,0.04621134133288526
385,II-VI,M_i_B,Si,CdTe,1.39059,0.9479281750664361,0.016060607543715896
386,II-VI,M_i_A,P,ZnTe,0.48322600000000004,0.810430332297785,0.018155903730287814
387,II-VI,M_A,W,CdTe,0.943472,0.5993399138893636,0.02869521125382732
388,II-VI,M_i_A,Si,CdTe,1.199442,0.9493301033775193,0.01513053449531273
389,II-VI,M_B,Tl,CdTe,0.656736,0.6601878943776432,0.03849504909633061
390,IV-IV,M_i_A,Mo,SiSn,0.12075599999999999,0.20902056432272334,0.030597011512566906
391,II-VI,M_i_neut,Hf,CdTe,1.3880860000000002,1.3493770269138397,0.01855514866342666
392,II-VI,M_i_B,Ca,CdTe,1.569566,1.4875718528246007,0.020857807044390546
393,II-VI,M_A,Hf,ZnTe,1.246143,1.006959303822616,0.05022404618623754
