Type,AB,Site,Impurity,true val,mean,std
II-VI,CdO,M_i_A,Zn,0,1.192695939,0.035911927
II-VI,CdO,M_i_A,Y,0,1.377932225,0.044125698
II-VI,CdO,M_i_A,Zr,0,1.402677853,0.036477902
II-VI,CdO,M_i_A,Nb,0,1.356292129,0.040456892
II-VI,CdO,M_i_A,Mo,0,1.259833721,0.011700283
II-VI,CdO,M_i_A,Tc,0,1.227687494,0.034312887
II-VI,CdO,M_i_A,Ru,0,1.149940894,0.01778215
II-VI,CdO,M_i_A,Rh,0,1.088214161,0.052374419
II-VI,CdO,M_i_A,Pd,0,1.051829562,0.059893658
II-VI,CdO,M_i_A,Ag,0,1.233985518,0.020297349
II-VI,CdO,M_i_A,Cd,0,1.174994788,0.017858099
II-VI,CdO,M_i_A,La,0,1.351802741,0.042458959
II-VI,CdO,M_i_A,Hf,0,1.420513202,0.055033654
II-VI,CdO,M_i_A,Ta,0,1.389092532,0.038008932
II-VI,CdO,M_i_A,W,0,1.175353332,0.026412029
II-VI,CdO,M_i_A,Re,0,1.218144119,0.051569315
II-VI,CdO,M_i_A,Os,0,1.156574201,0.014197024
II-VI,CdO,M_i_A,Ir,0,1.112326038,0.043837218
II-VI,CdO,M_i_A,Pt,0,1.140018655,0.079393705
II-VI,CdO,M_i_A,Au,0,1.202429135,0.043383447
II-VI,CdO,M_i_A,Hg,0,1.198161279,0.044663179
II-VI,CdO,M_i_A,Ce,0,1.36215031,0.027631149
II-VI,CdO,M_i_A,Pr,0,1.360525713,0.025601806
II-VI,CdO,M_i_A,Nd,0,1.359431528,0.02496387
II-VI,CdO,M_i_A,Pm,0,1.360768775,0.027663263
II-VI,CdO,M_i_A,Sm,0,1.378806079,0.03584948
II-VI,CdO,M_i_A,Eu,0,1.336758116,0.036999486
II-VI,CdO,M_i_A,Gd,0,1.364484037,0.02837843
II-VI,CdO,M_i_A,Tb,0,1.365754645,0.030390511
II-VI,CdO,M_i_A,Dy,0,1.368958601,0.031939444
II-VI,CdO,M_i_A,Ho,0,1.369764474,0.030720845
II-VI,CdO,M_i_A,Er,0,1.37432396,0.032410861
II-VI,CdO,M_i_A,Tm,0,1.379823649,0.044765156
II-VI,CdO,M_i_A,Yb,0,1.33319715,0.045916833
II-VI,CdO,M_i_A,Lu,0,1.377001617,0.034686139
II-VI,CdO,M_i_B,Li,0,1.193267302,0.053233717
II-VI,CdO,M_i_B,Na,0,1.182540201,0.053087158
II-VI,CdO,M_i_B,K,0,1.139953722,0.062349134
II-VI,CdO,M_i_B,Rb,0,1.188379578,0.046525486
II-VI,CdO,M_i_B,Cs,0,1.202576476,0.037697752
II-VI,CdO,M_i_B,Be,0,1.231472833,0.045209034
II-VI,CdO,M_i_B,Mg,0,1.25808558,0.06720385
II-VI,CdO,M_i_B,Ca,0,1.256596889,0.058599079
II-VI,CdO,M_i_B,Sr,0,1.26650692,0.053064315
II-VI,CdO,M_i_B,Ba,0,1.27201588,0.048171695
II-VI,CdO,M_i_B,B,0,1.192383412,0.050427642
II-VI,CdO,M_i_B,Al,0,1.286739734,0.027772161
II-VI,CdO,M_i_B,Ga,0,1.367729012,0.031318382
II-VI,CdO,M_i_B,In,0,1.352735331,0.034462234
II-VI,CdO,M_i_B,Tl,0,1.250896488,0.062771112
II-VI,CdO,M_i_B,C,0,1.085253497,0.043789737
II-VI,CdO,M_i_B,Si,0,1.264421228,0.023179227
II-VI,CdO,M_i_B,Ge,0,1.283717677,0.031819773
II-VI,CdO,M_i_B,Sn,0,1.306844632,0.045760669
II-VI,CdO,M_i_B,Pb,0,1.269317627,0.029134715
II-VI,CdO,M_i_B,N,0,0.31686822,0.110080659
II-VI,CdO,M_i_B,P,0,1.167732549,0.019247746
II-VI,CdO,M_i_B,As,0,1.240938661,0.022980886
II-VI,CdO,M_i_B,Sb,0,1.276646801,0.032694737
II-VI,CdO,M_i_B,Bi,0,1.284718919,0.042567384
